order,ST_NUM,ST_NAME,CITY,ZIPCODE,GIS_ID,TOTAL_SCORE,latitude,longitude,cluster,WKT,x,y
0,14,WORTHINGTON ST,ROXBURY CROSSIN,2120,1000118000,60,42.33418315535885,-71.10246393743279,0,"POLYGON ((-71.1106723 42.3364663,-71.1017679 42.3364663,-71.1017679 42.3318828,-71.1106723 42.3318828,-71.1106723 42.3364663))",1.0,1.0
1,11,WIGGLESWORTH ST,ROXBURY CROSSIN,2120,1000093000,60,42.33422716317555,-71.10276093803648,0,"POLYGON ((-71.1106723 42.3364663,-71.1017679 42.3364663,-71.1017679 42.3318828,-71.1106723 42.3318828,-71.1106723 42.3364663))",1.0,1.0
2,6,WORTHINGTON ST,ROXBURY CROSSIN,2120,1000122000,51,42.333987283413,-71.10258424902295,0,"POLYGON ((-71.1106723 42.3364663,-71.1017679 42.3364663,-71.1017679 42.3318828,-71.1106723 42.3318828,-71.1106723 42.3364663))",1.0,1.0
3,15,WORTHINGTON ST,ROXBURY CROSSIN,2120,1000025000,60,42.3340549585038,-71.10204380114784,0,"POLYGON ((-71.1106723 42.3364663,-71.1017679 42.3364663,-71.1017679 42.3318828,-71.1106723 42.3318828,-71.1106723 42.3364663))",1.0,1.0
4,64,CALUMET ST,ROXBURY CROSSIN,2120,1000633000,59,42.3320781324116,-71.1044595070438,0,"POLYGON ((-71.1106723 42.3364663,-71.1017679 42.3364663,-71.1017679 42.3318828,-71.1106723 42.3318828,-71.1106723 42.3364663))",1.0,1.0
5,179  181,HILLSIDE ST,ROXBURY CROSSIN,2120,1000958000,51,42.3319011302892,-71.10782805366604,0,"POLYGON ((-71.1106723 42.3364663,-71.1017679 42.3364663,-71.1017679 42.3318828,-71.1106723 42.3318828,-71.1106723 42.3364663))",1.0,1.0
6,28,WORTHINGTON ST,ROXBURY CROSSIN,2120,1000111000,60,42.33450613849105,-71.10226833449975,0,"POLYGON ((-71.1106723 42.3364663,-71.1017679 42.3364663,-71.1017679 42.3318828,-71.1106723 42.3318828,-71.1106723 42.3364663))",1.0,1.0
0,1,SUSSEX ST,ROXBURY CROSSIN,2120,0901843000,68,42.33622903006695,-71.08357185124939,4,"POLYGON ((-71.0884113 42.3364663,-71.0795069 42.3364663,-71.0795069 42.3318828,-71.0884113 42.3318828,-71.0884113 42.3364663))",6.0,1.0
1,28,SUSSEX ST,ROXBURY CROSSIN,2120,0901809000,53,42.3359276322706,-71.08370373032756,4,"POLYGON ((-71.0884113 42.3364663,-71.0795069 42.3364663,-71.0795069 42.3318828,-71.0884113 42.3318828,-71.0884113 42.3364663))",6.0,1.0
2,30,SUSSEX ST,ROXBURY CROSSIN,2120,0901808000,71,42.335950943894105,-71.08373454021273,4,"POLYGON ((-71.0884113 42.3364663,-71.0795069 42.3364663,-71.0795069 42.3318828,-71.0884113 42.3318828,-71.0884113 42.3364663))",6.0,1.0
3,7,SUSSEX ST,ROXBURY CROSSIN,2120,0901846000,51,42.33614917466185,-71.08366253091718,4,"POLYGON ((-71.0884113 42.3364663,-71.0795069 42.3364663,-71.0795069 42.3318828,-71.0884113 42.3318828,-71.0884113 42.3364663))",6.0,1.0
4,14,WARWICK ST,ROXBURY CROSSIN,2120,0901835000,51,42.33629408461915,-71.08382017964473,4,"POLYGON ((-71.0884113 42.3364663,-71.0795069 42.3364663,-71.0795069 42.3318828,-71.0884113 42.3318828,-71.0884113 42.3364663))",6.0,1.0
5,38,GREENWICH ST,ROXBURY CROSSIN,2120,0901798000,51,42.335930520184405,-71.0839411412188,4,"POLYGON ((-71.0884113 42.3364663,-71.0795069 42.3364663,-71.0795069 42.3318828,-71.0884113 42.3318828,-71.0884113 42.3364663))",6.0,1.0
6,28,GREENWICH ST,ROXBURY CROSSIN,2120,0901793000,60,42.335827262018256,-71.0837530459138,4,"POLYGON ((-71.0884113 42.3364663,-71.0795069 42.3364663,-71.0795069 42.3318828,-71.0884113 42.3318828,-71.0884113 42.3364663))",6.0,1.0
7,15,GREENWICH ST,ROXBURY CROSSIN,2120,0901895000,51,42.335489889637,-71.08372198628972,4,"POLYGON ((-71.0884113 42.3364663,-71.0795069 42.3364663,-71.0795069 42.3318828,-71.0884113 42.3318828,-71.0884113 42.3364663))",6.0,1.0
8,17,GREENWICH ST,ROXBURY CROSSIN,2120,0901894000,51,42.335527617475904,-71.08374366166325,4,"POLYGON ((-71.0884113 42.3364663,-71.0795069 42.3364663,-71.0795069 42.3318828,-71.0884113 42.3318828,-71.0884113 42.3364663))",6.0,1.0
9,4,GREENWICH CT,ROXBURY CROSSIN,2120,0901890000,51,42.335433624324,-71.08387801443615,4,"POLYGON ((-71.0884113 42.3364663,-71.0795069 42.3364663,-71.0795069 42.3318828,-71.0884113 42.3318828,-71.0884113 42.3364663))",6.0,1.0
10,3,GREENWICH CT,ROXBURY CROSSIN,2120,0901885000,51,42.33557438481135,-71.08413778639728,4,"POLYGON ((-71.0884113 42.3364663,-71.0795069 42.3364663,-71.0795069 42.3318828,-71.0884113 42.3318828,-71.0884113 42.3364663))",6.0,1.0
11,5,GREENWICH CT,ROXBURY CROSSIN,2120,0901886000,51,42.3355502520527,-71.08417595708842,4,"POLYGON ((-71.0884113 42.3364663,-71.0795069 42.3364663,-71.0795069 42.3318828,-71.0884113 42.3318828,-71.0884113 42.3364663))",6.0,1.0
