ST_NUM,ST_NAME,CITY,ZIPCODE,GIS_ID,TOTAL_SCORE,latitude,longitude,grid_code
36,WILCOCK ST,DORCHESTER,2124,1404570000,96,42.2867930965415,-71.0925729700924,130
92,WAYLAND ST,DORCHESTER,2125,1300886000,94,42.313849230241104,-71.07601734223555,52
94,WAYLAND ST,DORCHESTER,2125,1300885000,94,42.31388489284625,-71.07612209144773,52
12 12A,RILL ST,DORCHESTER,2125,1502784000,91,42.3119405972007,-71.0645347057387,66
12,MONSON ST,MATTAPAN,2126,1703791020,91,42.2724352925627,-71.07307449704666,190
3,GLENMORE ST,MATTAPAN,2126,1800086000,88,42.2724785786599,-71.07773953279707,188
26,RIVERDALE RD,MATTAPAN,2126,1800029030,87,42.27093595987445,-71.07846545207505,206
20  22,CIRCUIT ST,ROXBURY,2119,1200628000,87,42.32330950988195,-71.0854676223453,26
28,WILCOCK ST,DORCHESTER,2124,1404572000,86,42.2867263143405,-71.09220883629547,130
73,WENSLEY ST,ROXBURY CROSSIN,2120,1001304020,86,42.3274967418474,-71.10315332478032,14
58,HARWOOD ST,DORCHESTER,2124,1403513000,86,42.2853277526933,-71.08869822955404,148
56,QUINCY ST,DORCHESTER,2121,1202950000,86,42.31525769607475,-71.07964315797595,51
116,SELDEN ST,DORCHESTER,2124,1702533000,86,42.28045175608635,-71.08135623994963,168
51,RICHFIELD ST,DORCHESTER,2125,1502325000,86,42.30677370674635,-71.07076320783301,78
71,WENSLEY ST,ROXBURY CROSSIN,2120,1001304010,86,42.32748691122595,-71.10302298975782,14
16,KENNEBEC ST,MATTAPAN,2126,1802320000,86,42.27710296264645,-71.10167315529934,162
584,HARVARD ST,MATTAPAN,2126,1404743000,86,42.2849737891596,-71.0967505193226,147
28,TOWNSEND ST,ROXBURY,2119,1101921000,86,42.3197418455282,-71.09228080069346,36
114,CEDAR ST,ROXBURY,2119,1100695000,86,42.32686903874635,-71.09364727518316,25
61,REGIS RD,MATTAPAN,2126,1801073020,86,42.2712548951964,-71.09499477224647,202
15,ROCKWAY ST,MATTAPAN,2126,1801073010,86,42.2711464516671,-71.09511916712735,202
32,DACIA ST,DORCHESTER,2125,1300707010,86,42.3151576277343,-71.0774915802752,52
9,DOVE ST,DORCHESTER,2125,1300705010,86,42.3151576277343,-71.07773929346436,52
29,ELMONT ST,DORCHESTER,2121,1402415000,86,42.29890731714235,-71.07735241860175,105
40,RAND ST,DORCHESTER,2125,1300297010,86,42.318757417333245,-71.07616665641609,38
19,DALE ST,ROXBURY,2119,1200755000,86,42.32077941708065,-71.08308526367394,37
166,MAGNOLIA ST,DORCHESTER,2125,1301198000,86,42.31312952434105,-71.07224084746122,64
73,SAVIN HILL AV,DORCHESTER,2125,1503186000,86,42.3124149761108,-71.05562134653002,68
166,W SELDEN ST,MATTAPAN,2126,1800160000,86,42.2753458165773,-71.08740924682493,185
38,RAND ST,DORCHESTER,2125,1300299010,86,42.318980036386705,-71.07605111541733,38
76,MUNROE ST,ROXBURY,2119,1203466000,86,42.3183359312832,-71.08755331614014,36
40,MAYWOOD ST,ROXBURY,2119,1200944000,86,42.3175881209453,-71.08031743235746,51
17,DALE ST,ROXBURY,2119,1200754000,86,42.3208291002415,-71.08296519903463,37
168,MAGNOLIA ST,DORCHESTER,2125,1301197000,86,42.3130045543416,-71.07228066502688,64
50,GREENDALE RD,MATTAPAN,2126,1404690000,85,42.28579343821695,-71.0951906042726,147
22  24,GREENDALE RD,MATTAPAN,2126,1404693000,85,42.285526326242504,-71.09466046946126,148
869,CUMMINS HW,MATTAPAN,2126,1801681000,85,42.2685662850439,-71.09601184225556,202
20,GREENDALE RD,MATTAPAN,2126,1404694000,85,42.2854343210461,-71.09448035568732,148
49,PORT NORFOLK ST,DORCHESTER,2122,1602665000,85,42.2907570457619,-71.04035576424235,126
64,GOODALE RD,MATTAPAN,2126,1404955000,85,42.28384988149615,-71.09432931085107,148
52,GOODALE RD,MATTAPAN,2126,1404958000,85,42.283596962689145,-71.09384383257843,148
605  607,PARK ST,DORCHESTER,2124,1700208030,85,42.29465902498265,-71.07767293975682,117
102  104,SELDEN ST,DORCHESTER,2124,1702536000,85,42.280598483582054,-71.08070180615564,168
17  19,MORSE ST,DORCHESTER,2121,1401100000,85,42.30417468984475,-71.07802798572911,90
601  603,PARK ST,DORCHESTER,2124,1700206030,85,42.29469743105385,-71.0774725539886,117
6,REV R M COSTELLO PL,DORCHESTER,2122,1604220090,85,42.28538285564996,-71.04583511540912,161
10,DOWNER CT,DORCHESTER,2122,1502852000,85,42.3097899470525,-71.06456741975902,66
35,SARGENT ST,DORCHESTER,2125,1300627010,85,42.315351328315,-71.07412892166923,53
66,ALEXANDER ST,DORCHESTER,2125,1301130000,85,42.316433628539,-71.069673362994,54
9,SCHUYLER ST,DORCHESTER,2121,1202444000,85,42.3081335844558,-71.08471155859276,77
143  145,FISHER AV,ROXBURY CROSSIN,2120,1001232000,84,42.3283564181186,-71.10627652933977,14
14,CHAMPLAIN CI,DORCHESTER,2124,1700277014,84,42.296160356938756,-71.07457928051741,106
48,ROCKINGHAM RD,MATTAPAN,2126,1802049000,84,42.2693219191444,-71.103192123841,198
13,CHAMPLAIN CI,DORCHESTER,2124,1700277016,84,42.2960865006126,-71.07462706007908,106
10,CHAMPLAIN CI,DORCHESTER,2124,1700277022,84,42.2959915117734,-71.0743315302442,106
37,DENNIS ST,ROXBURY,2119,0802954050,84,42.32227056166715,-71.0758163938117,38
50,ROCKINGHAM RD,MATTAPAN,2126,1802048000,84,42.26922766080865,-71.1032693990353,198
153,WINTHROP ST,ROXBURY,2119,0802898050,84,42.322886487984846,-71.07542614187875,27
9,CHAMPLAIN CI,DORCHESTER,2124,1700277024,84,42.296021660801244,-71.07420044099442,106
181,DELHI ST,MATTAPAN,2126,1800721000,84,42.2757478267989,-71.09029934991068,184
19,DENNIS ST,ROXBURY,2119,0802875050,84,42.32305691297325,-71.07505089590468,28
27,DENNIS ST,ROXBURY,2119,0802901050,84,42.322669403079,-71.07539365838394,38
455,DUDLEY ST,ROXBURY,2119,0802869010,84,42.3237521366932,-71.07434140978913,28
15  17,TOVAR ST,DORCHESTER,2125,1502904000,84,42.31048508699895,-71.06350896464275,67
160,GRAMPIAN WY,DORCHESTER,2125,1302455001,84,42.30943212627755,-71.04903058275995,69
453,DUDLEY ST,ROXBURY,2119,0802868010,84,42.3239014945711,-71.07430297113315,28
29,DENNIS ST,ROXBURY,2119,0802902050,84,42.32262319133335,-71.07550239763813,38
8,CHAMPLAIN CI,DORCHESTER,2124,1700277026,84,42.2960301154674,-71.07408230255629,106
149,WINTHROP ST,ROXBURY,2119,0802920050,84,42.32301969045869,-71.07543767798397,27
459,DUDLEY ST,ROXBURY,2119,0803115010,84,42.3235644132996,-71.0740253262907,28
33,DENNIS ST,ROXBURY,2119,0802950050,84,42.322394766826,-71.07565120188993,38
51,PORT NORFOLK ST,DORCHESTER,2122,1602665020,84,42.290906252668904,-71.04034059495443,126
19,HUCKINS ST,ROXBURY,2119,0802891050,84,42.32356583867585,-71.07519393750692,27
457,DUDLEY ST,ROXBURY,2119,0802828010,84,42.323685232463305,-71.07422184458753,28
15,CHAMPLAIN CI,DORCHESTER,2124,1700277012,84,42.2962056047542,-71.07462266864432,106
159,SYDNEY ST,DORCHESTER,2125,1303204010,84,42.31689900746145,-71.05240398330075,57
12,SARGENT ST,DORCHESTER,2125,1300528000,84,42.3167094577226,-71.07351015711846,53
11,REV R M COSTELLO PL,DORCHESTER,2122,1604220140,84,42.28527144837845,-71.04555976855076,161
34,MINOT ST,DORCHESTER,2122,1604220000,84,42.2858089253286,-71.0460870644257,161
31,BALSAM ST,DORCHESTER,2124,1403282060,84,42.28663101870865,-71.08807728876239,132
3,LONGMEADOW ST,ROXBURY,2119,0800345000,84,42.32192620798955,-71.06969454299832,40
