name,WKT,x,y,counts
0,"POLYGON ((-71.1106723 42.3364663,-71.1017679 42.3364663,-71.1017679 42.3318828,-71.1106723 42.3318828,-71.1106723 42.3364663))",1.0,1.0,7.0
4,"POLYGON ((-71.0884113 42.3364663,-71.0795069 42.3364663,-71.0795069 42.3318828,-71.0884113 42.3318828,-71.0884113 42.3364663))",6.0,1.0,19.0
14,"POLYGON ((-71.1106723 42.3318828,-71.0928635 42.3318828,-71.0928635 42.3272993,-71.1106723 42.3272993,-71.1106723 42.3318828))",1.0,2.0,71.0
15,"POLYGON ((-71.0928635 42.3318828,-71.0750547 42.3318828,-71.0750547 42.3272993,-71.0928635 42.3272993,-71.0928635 42.3318828))",5.0,2.0,79.0
17,"POLYGON ((-71.0706025 42.3318828,-71.0661503 42.3318828,-71.0661503 42.3272993,-71.0706025 42.3272993,-71.0706025 42.3318828))",10.0,2.0,2.0
25,"POLYGON ((-71.1062201 42.3272993,-71.0928635 42.3272993,-71.0928635 42.3227158,-71.1062201 42.3227158,-71.1062201 42.3272993))",2.0,3.0,55.0
26,"POLYGON ((-71.0928635 42.3272993,-71.0839591 42.3272993,-71.0839591 42.3227158,-71.0928635 42.3227158,-71.0928635 42.3272993))",5.0,3.0,54.0
27,"POLYGON ((-71.0839591 42.3272993,-71.0750547 42.3272993,-71.0750547 42.3227158,-71.0839591 42.3227158,-71.0839591 42.3272993))",7.0,3.0,69.0
28,"POLYGON ((-71.0750547 42.3272993,-71.0706025 42.3272993,-71.0706025 42.3227158,-71.0750547 42.3227158,-71.0750547 42.3272993))",9.0,3.0,60.0
29,"POLYGON ((-71.0706025 42.3272993,-71.0527937 42.3272993,-71.0527937 42.3227158,-71.0706025 42.3227158,-71.0706025 42.3272993))",10.0,3.0,47.0
35,"POLYGON ((-71.1017679 42.3227158,-71.0928635 42.3227158,-71.0928635 42.3181323,-71.1017679 42.3181323,-71.1017679 42.3227158))",3.0,4.0,26.0
36,"POLYGON ((-71.0928635 42.3227158,-71.0839591 42.3227158,-71.0839591 42.3181323,-71.0928635 42.3181323,-71.0928635 42.3227158))",5.0,4.0,64.0
37,"POLYGON ((-71.0839591 42.3227158,-71.0772808 42.3227158,-71.0772808 42.3181323,-71.0839591 42.3181323,-71.0839591 42.3227158))",7.0,4.0,77.0
38,"POLYGON ((-71.0772808 42.3227158,-71.0750547 42.3227158,-71.0750547 42.3181323,-71.0772808 42.3181323,-71.0772808 42.3227158))",8.0,4.0,51.0
39,"POLYGON ((-71.0750547 42.3227158,-71.0728286 42.3227158,-71.0728286 42.3181323,-71.0750547 42.3181323,-71.0750547 42.3227158))",9.0,4.0,58.0
40,"POLYGON ((-71.0728286 42.3227158,-71.0661503 42.3227158,-71.0661503 42.3181323,-71.0728286 42.3181323,-71.0728286 42.3227158))",9.0,4.0,58.0
41,"POLYGON ((-71.0661503 42.3227158,-71.0616981 42.3227158,-71.0616981 42.3181323,-71.0661503 42.3181323,-71.0661503 42.3227158))",11.0,4.0,46.0
42,"POLYGON ((-71.0616981 42.3227158,-71.0572459 42.3227158,-71.0572459 42.3181323,-71.0616981 42.3181323,-71.0616981 42.3227158))",12.0,4.0,49.0
43,"POLYGON ((-71.0572459 42.3227158,-71.0527937 42.3227158,-71.0527937 42.3181323,-71.0572459 42.3181323,-71.0572459 42.3227158))",13.0,4.0,60.0
49,"POLYGON ((-71.1017679 42.3181323,-71.0973157 42.3181323,-71.0973157 42.3135488,-71.1017679 42.3135488,-71.1017679 42.3181323))",3.0,5.0,64.0
50,"POLYGON ((-71.0973157 42.3181323,-71.0839591 42.3181323,-71.0839591 42.3135488,-71.0973157 42.3135488,-71.0973157 42.3181323))",4.0,5.0,72.0
51,"POLYGON ((-71.0839591 42.3181323,-71.0795069 42.3181323,-71.0795069 42.3135488,-71.0839591 42.3135488,-71.0839591 42.3181323))",7.0,5.0,57.0
52,"POLYGON ((-71.0795069 42.3181323,-71.0750547 42.3181323,-71.0750547 42.3135488,-71.0795069 42.3135488,-71.0795069 42.3181323))",8.0,5.0,49.0
53,"POLYGON ((-71.0750547 42.3181323,-71.0706025 42.3181323,-71.0706025 42.3135488,-71.0750547 42.3135488,-71.0750547 42.3181323))",9.0,5.0,58.0
54,"POLYGON ((-71.0706025 42.3181323,-71.0661503 42.3181323,-71.0661503 42.3135488,-71.0706025 42.3135488,-71.0706025 42.3181323))",10.0,5.0,59.0
55,"POLYGON ((-71.0661503 42.3181323,-71.059472 42.3181323,-71.059472 42.3135488,-71.0661503 42.3135488,-71.0661503 42.3181323))",11.0,5.0,67.0
56,"POLYGON ((-71.059472 42.3181323,-71.0550198 42.3181323,-71.0550198 42.3135488,-71.059472 42.3135488,-71.059472 42.3181323))",12.0,5.0,65.0
57,"POLYGON ((-71.0550198 42.3181323,-71.0483415 42.3181323,-71.0483415 42.3135488,-71.0550198 42.3135488,-71.0550198 42.3181323))",13.0,5.0,65.0
62,"POLYGON ((-71.1017679 42.3135488,-71.0839591 42.3135488,-71.0839591 42.3089653,-71.1017679 42.3089653,-71.1017679 42.3135488))",3.0,6.0,33.0
63,"POLYGON ((-71.0839591 42.3135488,-71.0750547 42.3135488,-71.0750547 42.3089653,-71.0839591 42.3089653,-71.0839591 42.3135488))",7.0,6.0,52.0
64,"POLYGON ((-71.0750547 42.3135488,-71.0706025 42.3135488,-71.0706025 42.3089653,-71.0750547 42.3089653,-71.0750547 42.3135488))",9.0,6.0,52.0
65,"POLYGON ((-71.0706025 42.3135488,-71.0661503 42.3135488,-71.0661503 42.3089653,-71.0706025 42.3089653,-71.0706025 42.3135488))",10.0,6.0,61.0
66,"POLYGON ((-71.0661503 42.3135488,-71.0639242 42.3135488,-71.0639242 42.3089653,-71.0661503 42.3089653,-71.0661503 42.3135488))",11.0,6.0,41.0
67,"POLYGON ((-71.0639242 42.3135488,-71.0572459 42.3135488,-71.0572459 42.3089653,-71.0639242 42.3089653,-71.0639242 42.3135488))",11.0,6.0,57.0
68,"POLYGON ((-71.0572459 42.3135488,-71.0527937 42.3135488,-71.0527937 42.3089653,-71.0572459 42.3089653,-71.0572459 42.3135488))",13.0,6.0,42.0
69,"POLYGON ((-71.0527937 42.3135488,-71.0483415 42.3135488,-71.0483415 42.3089653,-71.0527937 42.3089653,-71.0527937 42.3135488))",14.0,6.0,53.0
70,"POLYGON ((-71.0483415 42.3135488,-71.0438893 42.3135488,-71.0438893 42.3089653,-71.0483415 42.3089653,-71.0483415 42.3135488))",15.0,6.0,27.0
77,"POLYGON ((-71.0884113 42.3089653,-71.0750547 42.3089653,-71.0750547 42.3043818,-71.0884113 42.3043818,-71.0884113 42.3089653))",6.0,7.0,62.0
78,"POLYGON ((-71.0750547 42.3089653,-71.0706025 42.3089653,-71.0706025 42.3043818,-71.0750547 42.3043818,-71.0750547 42.3089653))",9.0,7.0,45.0
79,"POLYGON ((-71.0706025 42.3089653,-71.0683764 42.3089653,-71.0683764 42.3043818,-71.0706025 42.3043818,-71.0706025 42.3089653))",10.0,7.0,53.0
