order,ST_NUM,ST_NAME,CITY,ZIPCODE,GIS_ID,TOTAL_SCORE,latitude,longitude,cluster,centroid
0,6,WARREN PL,ROXBURY,02119,1200017000,51,42.32811808,-71.08244678,2,"POINT(42.32625608754717, -71.07912227566038)"
1,8,WARREN PL,ROXBURY,02119,1200016000,74,42.3281053,-71.08229235,2,"POINT(42.32625608754717, -71.07912227566038)"
2,14,WARREN PL,ROXBURY,02119,1200013000,60,42.32807088,-71.08184853,2,"POINT(42.32625608754717, -71.07912227566038)"
3,19,WARREN PL,ROXBURY,02119,1200059000,60,42.3277615,-71.08176327,2,"POINT(42.32625608754717, -71.07912227566038)"
4,96 96B,WARREN ST,ROXBURY,02119,1200078020,51,42.32715273,-71.08284705,2,"POINT(42.32625608754717, -71.07912227566038)"
5,9,WINTHROP ST,ROXBURY,02119,1200082000,51,42.32634497,-71.08253905,2,"POINT(42.32625608754717, -71.07912227566038)"
6,13,WINTHROP ST,ROXBURY,02119,1200084000,51,42.32626434,-71.08241776,2,"POINT(42.32625608754717, -71.07912227566038)"
7,19,WINTHROP ST,ROXBURY,02119,1200087000,51,42.32622063,-71.08221772,2,"POINT(42.32625608754717, -71.07912227566038)"
8,8,MORELAND ST,ROXBURY,02119,1200105000,51,42.32598115,-71.08268625,2,"POINT(42.32625608754717, -71.07912227566038)"
9,12,MORELAND ST,ROXBURY,02119,1200103000,51,42.32599905,-71.08252006,2,"POINT(42.32625608754717, -71.07912227566038)"
10,56,MORELAND ST,ROXBURY,02119,1200144000,51,42.32457954,-71.07985317,2,"POINT(42.32625608754717, -71.07912227566038)"
11,46,MORELAND ST,ROXBURY,02119,1200123000,60,42.32497038,-71.08023203,2,"POINT(42.32625608754717, -71.07912227566038)"
12,2,CLEVELAND PK,ROXBURY,02119,1200133000,51,42.32532743,-71.08049674,2,"POINT(42.32625608754717, -71.07912227566038)"
13,43,WINTHROP ST,ROXBURY,02119,1200114000,61,42.32568783,-71.08013888,2,"POINT(42.32625608754717, -71.07912227566038)"
14,28,GREENVILLE ST,ROXBURY,02119,0802602000,60,42.32667014,-71.08025415,2,"POINT(42.32625608754717, -71.07912227566038)"
15,25,GREENVILLE ST,ROXBURY,02119,1200038000,51,42.32686033,-71.08080572,2,"POINT(42.32625608754717, -71.07912227566038)"
16,19,GREENVILLE ST,ROXBURY,02119,1200036010,57,42.32731998,-71.08095544,2,"POINT(42.32625608754717, -71.07912227566038)"
17,16,GREENVILLE ST,ROXBURY,02119,0802607010,53,42.32751209,-71.08032592,2,"POINT(42.32625608754717, -71.07912227566038)"
18,12,GREENVILLE ST,ROXBURY,02119,0802607020,53,42.32767556,-71.08036655,2,"POINT(42.32625608754717, -71.07912227566038)"
19,15,GREENVILLE ST,ROXBURY,02119,1200033000,51,42.32771647,-71.08096392,2,"POINT(42.32625608754717, -71.07912227566038)"
20,26,MT PLEASANT AV,ROXBURY,02119,0802696000,60,42.32749316,-71.07927727,2,"POINT(42.32625608754717, -71.07912227566038)"
21,2,MT PLEASANT TE,ROXBURY,02119,0802578002,60,42.32658764,-71.07980223,2,"POINT(42.32625608754717, -71.07912227566038)"
22,4,MT PLEASANT TE,ROXBURY,02119,0802578001,60,42.32655028,-71.0799252,2,"POINT(42.32625608754717, -71.07912227566038)"
23,52,MT PLEASANT AV,ROXBURY,02119,0802689020,57,42.32663932,-71.07877753,2,"POINT(42.32625608754717, -71.07912227566038)"
24,92,MT PLEASANT AV,ROXBURY,02119,0802765000,59,42.32573929,-71.07765276,2,"POINT(42.32625608754717, -71.07912227566038)"
25,29,FOREST ST,ROXBURY,02119,0802674000,65,42.32667082,-71.07806352,2,"POINT(42.32625608754717, -71.07912227566038)"
26,36,FOREST ST,ROXBURY,02119,0802660000,57,42.32699776,-71.07772104,2,"POINT(42.32625608754717, -71.07912227566038)"
27,34,FOREST ST,ROXBURY,02119,0802661000,51,42.3270825,-71.07770611,2,"POINT(42.32625608754717, -71.07912227566038)"
28,19 A,FOREST ST,ROXBURY,02119,0802671010,53,42.32692194,-71.07841931,2,"POINT(42.32625608754717, -71.07912227566038)"
29,19,FOREST ST,ROXBURY,02119,0802670030,68,42.3269831,-71.0785556,2,"POINT(42.32625608754717, -71.07912227566038)"
30,17 A,FOREST ST,ROXBURY,02119,0802670020,53,42.32701051,-71.078688,2,"POINT(42.32625608754717, -71.07912227566038)"
31,22,FOREST ST,ROXBURY,02119,0802639000,51,42.32741551,-71.07829933,2,"POINT(42.32625608754717, -71.07912227566038)"
32,17,FOREST ST,ROXBURY,02119,0802670010,53,42.32715781,-71.07866059,2,"POINT(42.32625608754717, -71.07912227566038)"
33,16,FOREST ST,ROXBURY,02119,0802641010,53,42.32754848,-71.07850628,2,"POINT(42.32625608754717, -71.07912227566038)"
34,14,FOREST ST,ROXBURY,02119,0802641020,53,42.32761789,-71.07860771,2,"POINT(42.32625608754717, -71.07912227566038)"
35,2,FOREST ST,ROXBURY,02119,0802647000,59,42.32791615,-71.07918645,2,"POINT(42.32625608754717, -71.07912227566038)"
36,291,DUDLEY ST,ROXBURY,02119,0802627000,58,42.32793448,-71.07824303,2,"POINT(42.32625608754717, -71.07912227566038)"
37,60,FOREST ST,ROXBURY,02119,0802735000,51,42.32626081,-71.07652295,2,"POINT(42.32625608754717, -71.07912227566038)"
38,57,FOREST ST,ROXBURY,02119,0802743000,51,42.32582367,-71.07684504,2,"POINT(42.32625608754717, -71.07912227566038)"
39,66,FOREST ST,ROXBURY,02119,0802731000,61,42.3259697,-71.07622911,2,"POINT(42.32625608754717, -71.07912227566038)"
40,3,FOREST PL,ROXBURY,02119,0802733000,60,42.32606168,-71.0760036,2,"POINT(42.32625608754717, -71.07912227566038)"
41,74,FOREST ST,ROXBURY,02119,0802727000,52,42.32579413,-71.07591479,2,"POINT(42.32625608754717, -71.07912227566038)"
42,143,MT PLEASANT AV,ROXBURY,02119,0802787000,61,42.32508252,-71.07555105,2,"POINT(42.32625608754717, -71.07912227566038)"
43,105,MT PLEASANT AV,ROXBURY,02119,0802783000,51,42.32494144,-71.07752208,2,"POINT(42.32625608754717, -71.07912227566038)"
44,102,MT PLEASANT AV,ROXBURY,02119,0802760000,61,42.32546094,-71.07726347,2,"POINT(42.32625608754717, -71.07912227566038)"
45,33,FAIRLAND ST,ROXBURY,02119,1200140000,51,42.32463865,-71.07932047,2,"POINT(42.32625608754717, -71.07912227566038)"
46,93,WINTHROP ST,ROXBURY,02119,0802923000,61,42.32410956,-71.07793729,2,"POINT(42.32625608754717, -71.07912227566038)"
47,1,PRESBY PL,ROXBURY,02119,0802807010,60,42.32399961,-71.07636139,2,"POINT(42.32625608754717, -71.07912227566038)"
48,4,PRESBY PL,ROXBURY,02119,0802807040,61,42.32413248,-71.07625453,2,"POINT(42.32625608754717, -71.07912227566038)"
49,117,WINTHROP ST,ROXBURY,02119,0802928000,52,42.32360314,-71.07678475,2,"POINT(42.32625608754717, -71.07912227566038)"
50,3,LAGRANGE PL,ROXBURY,02119,0802797000,60,42.32424147,-71.07620044,2,"POINT(42.32625608754717, -71.07912227566038)"
51,96,MORELAND ST,ROXBURY,02119,0802942000,57,42.32327659,-71.07706677,2,"POINT(42.32625608754717, -71.07912227566038)"
52,88,MORELAND ST,ROXBURY,02119,0802945000,60,42.32357123,-71.07763958,2,"POINT(42.32625608754717, -71.07912227566038)"
0,15,WARWICK ST,ROXBURY CROSSIN,02120,0901950000,51,42.33646631,-71.08412686,3,"POINT(42.330906215000006, -71.08566667999999)"
1,1,SUSSEX ST,ROXBURY CROSSIN,02120,0901843000,68,42.33622903,-71.08357185,3,"POINT(42.330906215000006, -71.08566667999999)"
2,28,SUSSEX ST,ROXBURY CROSSIN,02120,0901809000,53,42.33592763,-71.08370373,3,"POINT(42.330906215000006, -71.08566667999999)"
3,30,SUSSEX ST,ROXBURY CROSSIN,02120,0901808000,71,42.33595094,-71.08373454,3,"POINT(42.330906215000006, -71.08566667999999)"
4,7,SUSSEX ST,ROXBURY CROSSIN,02120,0901846000,51,42.33614917,-71.08366253,3,"POINT(42.330906215000006, -71.08566667999999)"
5,14,WARWICK ST,ROXBURY CROSSIN,02120,0901835000,51,42.33629408,-71.08382018,3,"POINT(42.330906215000006, -71.08566667999999)"
6,38,GREENWICH ST,ROXBURY CROSSIN,02120,0901798000,51,42.33593052,-71.08394114,3,"POINT(42.330906215000006, -71.08566667999999)"
7,28,GREENWICH ST,ROXBURY CROSSIN,02120,0901793000,60,42.33582726,-71.08375305,3,"POINT(42.330906215000006, -71.08566667999999)"
8,15,GREENWICH ST,ROXBURY CROSSIN,02120,0901895000,51,42.33548989,-71.08372199,3,"POINT(42.330906215000006, -71.08566667999999)"
9,17,GREENWICH ST,ROXBURY CROSSIN,02120,0901894000,51,42.33552762,-71.08374366,3,"POINT(42.330906215000006, -71.08566667999999)"
10,5,GREENWICH CT,ROXBURY CROSSIN,02120,0901886000,51,42.33555025,-71.08417596,3,"POINT(42.330906215000006, -71.08566667999999)"
11,7,GREENWICH CT,ROXBURY CROSSIN,02120,0901887000,51,42.33553676,-71.08424504,3,"POINT(42.330906215000006, -71.08566667999999)"
12,3,GREENWICH CT,ROXBURY CROSSIN,02120,0901885000,51,42.33557438,-71.08413779,3,"POINT(42.330906215000006, -71.08566667999999)"
13,4,GREENWICH CT,ROXBURY CROSSIN,02120,0901890000,51,42.33543362,-71.08387801,3,"POINT(42.330906215000006, -71.08566667999999)"
14,45,GREENWICH ST,ROXBURY CROSSIN,02120,0901880000,61,42.33568477,-71.08412205,3,"POINT(42.330906215000006, -71.08566667999999)"
15,49,GREENWICH ST,ROXBURY CROSSIN,02120,0901878000,61,42.33571829,-71.08420727,3,"POINT(42.330906215000006, -71.08566667999999)"
16,53,GREENWICH ST,ROXBURY CROSSIN,02120,0901876000,51,42.33579332,-71.08424944,3,"POINT(42.330906215000006, -71.08566667999999)"
17,36,WARWICK ST,ROXBURY CROSSIN,02120,0901872000,51,42.33570683,-71.08439053,3,"POINT(42.330906215000006, -71.08566667999999)"
18,77,WINDSOR ST,ROXBURY CROSSIN,02120,0901862000,51,42.33543046,-71.08448412,3,"POINT(42.330906215000006, -71.08566667999999)"
19,792 R,SHAWMUT AV,ROXBURY,02119,0902460000,51,42.33106615,-71.08439588,3,"POINT(42.330906215000006, -71.08566667999999)"
20,1,PUTNAM PL,ROXBURY,02119,0903266000,61,42.33018196,-71.08802606,3,"POINT(42.330906215000006, -71.08566667999999)"
21,4,PUTNAM PL,ROXBURY,02119,0903262020,81,42.32985834,-71.08832037,3,"POINT(42.330906215000006, -71.08566667999999)"
22,5,PUTNAM PL,ROXBURY,02119,0903262010,80,42.32988821,-71.08853264,3,"POINT(42.330906215000006, -71.08566667999999)"
23,25,PUTNAM ST,ROXBURY,02119,0903259020,81,42.33021478,-71.08872665,3,"POINT(42.330906215000006, -71.08566667999999)"
24,23,PUTNAM ST,ROXBURY,02119,0903259010,81,42.33008783,-71.08872107,3,"POINT(42.330906215000006, -71.08566667999999)"
25,13,PUTNAM ST,ROXBURY,02119,0903257000,51,42.32984321,-71.08878948,3,"POINT(42.330906215000006, -71.08566667999999)"
26,30,DUDLEY ST,ROXBURY,02119,0903256040,61,42.32962897,-71.08882593,3,"POINT(42.330906215000006, -71.08566667999999)"
27,32,DUDLEY ST,ROXBURY,02119,0903256030,61,42.32958295,-71.08867367,3,"POINT(42.330906215000006, -71.08566667999999)"
28,34,DUDLEY ST,ROXBURY,02119,0903256020,81,42.32956156,-71.08852305,3,"POINT(42.330906215000006, -71.08566667999999)"
29,36,DUDLEY ST,ROXBURY,02119,0903256010,81,42.32954071,-71.08837627,3,"POINT(42.330906215000006, -71.08566667999999)"
30,46,DUDLEY ST,ROXBURY,02119,0903253000,60,42.32947558,-71.08792008,3,"POINT(42.330906215000006, -71.08566667999999)"
31,53,DUDLEY ST,ROXBURY,02119,0903230000,60,42.32910961,-71.08775722,3,"POINT(42.330906215000006, -71.08566667999999)"
32,61,DUDLEY ST,ROXBURY,02119,0903234000,51,42.32907148,-71.08737158,3,"POINT(42.330906215000006, -71.08566667999999)"
33,56  58,DUDLEY ST,ROXBURY,02119,0903247000,60,42.32960016,-71.08733208,3,"POINT(42.330906215000006, -71.08566667999999)"
34,19,KENILWORTH ST,ROXBURY,02119,0903226000,67,42.32892584,-71.08771695,3,"POINT(42.330906215000006, -71.08566667999999)"
35,7,KENILWORTH ST,ROXBURY,02119,0903222000,51,42.32888893,-71.08726858,3,"POINT(42.330906215000006, -71.08566667999999)"
36,36,ST JAMES ST,ROXBURY,02119,1201351010,64,42.32655639,-71.08569086,3,"POINT(42.330906215000006, -71.08566667999999)"
37,34,ST JAMES ST,ROXBURY,02119,1201351020,84,42.32643491,-71.08561376,3,"POINT(42.330906215000006, -71.08566667999999)"
38,13,ST JAMES ST,ROXBURY,02119,1201225000,51,42.32636978,-71.08433582,3,"POINT(42.330906215000006, -71.08566667999999)"
39,11  13,REGENT ST,ROXBURY,02119,1201324000,51,42.32595381,-71.08413335,3,"POINT(42.330906215000006, -71.08566667999999)"
40,21  23,REGENT ST,ROXBURY,02119,1201330000,60,42.32565523,-71.08435325,3,"POINT(42.330906215000006, -71.08566667999999)"
41,30,AKRON ST,ROXBURY,02119,1201337000,51,42.32565489,-71.08483448,3,"POINT(42.330906215000006, -71.08566667999999)"
42,1,AKRON PL,ROXBURY,02119,1201336000,62,42.32572061,-71.0847597,3,"POINT(42.330906215000006, -71.08566667999999)"
43,3,AKRON PL,ROXBURY,02119,1201334000,51,42.32582852,-71.08470072,3,"POINT(42.330906215000006, -71.08566667999999)"
44,4,AKRON PL,ROXBURY,02119,1201333000,61,42.32587966,-71.08466907,3,"POINT(42.330906215000006, -71.08566667999999)"
45,17,AKRON ST,ROXBURY,02119,1201389000,51,42.32544309,-71.08520952,3,"POINT(42.330906215000006, -71.08566667999999)"
46,22,AKRON ST,ROXBURY,02119,1201340000,51,42.32590875,-71.08523616,3,"POINT(42.330906215000006, -71.08566667999999)"
47,20,ALPINE ST,ROXBURY,02119,1201382001,59,42.32574573,-71.08648512,3,"POINT(42.330906215000006, -71.08566667999999)"
48,62,ALPINE ST,ROXBURY,02119,1201369000,60,42.32519832,-71.08558225,3,"POINT(42.330906215000006, -71.08566667999999)"
49,53,CIRCUIT ST,ROXBURY,02119,1201414010,57,42.32421366,-71.08678264,3,"POINT(42.330906215000006, -71.08566667999999)"
0,143  145,FISHER AV,ROXBURY CROSSIN,02120,1001232000,84,42.32835642,-71.10627653,4,"POINT(42.32726623714285, -71.1030788417143)"
1,127  129,FISHER AV,ROXBURY CROSSIN,02120,1001227010,67,42.32821333,-71.1057378,4,"POINT(42.32726623714285, -71.1030788417143)"
2,141,FISHER AV,ROXBURY CROSSIN,02120,1001231000,82,42.32829965,-71.10605847,4,"POINT(42.32726623714285, -71.1030788417143)"
3,136,FISHER AV,ROXBURY CROSSIN,02120,1001337000,66,42.32797523,-71.1063217,4,"POINT(42.32726623714285, -71.1030788417143)"
4,31,LAWN ST,ROXBURY CROSSIN,02120,1001356010,60,42.32705863,-71.10479926,4,"POINT(42.32726623714285, -71.1030788417143)"
5,130,FISHER AV,ROXBURY CROSSIN,02120,1001339000,59,42.32791378,-71.10610689,4,"POINT(42.32726623714285, -71.1030788417143)"
6,124,FISHER AV,ROXBURY CROSSIN,02120,1001341010,65,42.32779728,-71.10588698,4,"POINT(42.32726623714285, -71.1030788417143)"
7,84,FISHER AV,ROXBURY CROSSIN,02120,1001312000,59,42.32771725,-71.10364979,4,"POINT(42.32726623714285, -71.1030788417143)"
8,78,FISHER AV,ROXBURY CROSSIN,02120,1001315000,60,42.32769005,-71.10325955,4,"POINT(42.32726623714285, -71.1030788417143)"
9,68  70,FISHER AV,ROXBURY CROSSIN,02120,1001317020,75,42.32765078,-71.10280566,4,"POINT(42.32726623714285, -71.1030788417143)"
10,72  74,FISHER AV,ROXBURY CROSSIN,02120,1001317010,75,42.32767682,-71.10306406,4,"POINT(42.32726623714285, -71.1030788417143)"
11,88  90,WENSLEY ST,ROXBURY CROSSIN,02120,1001290080,74,42.32725981,-71.10402485,4,"POINT(42.32726623714285, -71.1030788417143)"
12,11,LAWN ST,ROXBURY CROSSIN,02120,1001290040,75,42.32672657,-71.10394505,4,"POINT(42.32726623714285, -71.1030788417143)"
13,9,LAWN ST,ROXBURY CROSSIN,02120,1001290030,75,42.32665111,-71.10393126,4,"POINT(42.32726623714285, -71.1030788417143)"
14,7,LAWN ST,ROXBURY CROSSIN,02120,1001290020,75,42.32657632,-71.10391765,4,"POINT(42.32726623714285, -71.1030788417143)"
15,171,HEATH ST,ROXBURY CROSSIN,02120,1001550010,75,42.32630677,-71.10431808,4,"POINT(42.32726623714285, -71.1030788417143)"
16,5,LAWN ST,ROXBURY CROSSIN,02120,1001290010,75,42.3264955,-71.10390315,4,"POINT(42.32726623714285, -71.1030788417143)"
17,73,WENSLEY ST,ROXBURY CROSSIN,02120,1001304020,86,42.32749674,-71.10315332,4,"POINT(42.32726623714285, -71.1030788417143)"
18,71,WENSLEY ST,ROXBURY CROSSIN,02120,1001304010,86,42.32748691,-71.10302299,4,"POINT(42.32726623714285, -71.1030788417143)"
19,67,WENSLEY ST,ROXBURY CROSSIN,02120,1001303010,76,42.32747712,-71.10289373,4,"POINT(42.32726623714285, -71.1030788417143)"
20,65,WENSLEY ST,ROXBURY CROSSIN,02120,1001302010,76,42.3274673,-71.10276531,4,"POINT(42.32726623714285, -71.1030788417143)"
21,34  36,WENSLEY ST,ROXBURY CROSSIN,02120,1001264010,75,42.32714019,-71.10234034,4,"POINT(42.32726623714285, -71.1030788417143)"
